Date,Ticker,Open,High,Low,Close,Volume,Openint,Close_Percent_Change,Period_Change
6/1/1981,AAPL,0.591517857,0.59375,0.591517857,0.591517857,1025024,,0,0
6/2/1981,AAPL,0.5625,0.564732143,0.5625,0.5625,808640,,-0.049056604,-0.029017857
6/3/1981,AAPL,0.5625,0.566964286,0.5625,0.5625,788928,,0,0
6/4/1981,AAPL,0.573660714,0.575892857,0.573660714,0.573660714,1121344,,0.01984127,0.011160714
6/5/1981,AAPL,0.564732143,0.566964286,0.564732143,0.564732143,1153600,,-0.015564202,-0.008928571
6/8/1981,AAPL,0.544642857,0.546875,0.544642857,0.544642857,1869952,,-0.035573123,-0.020089286
6/9/1981,AAPL,0.555803571,0.558035714,0.555803571,0.555803571,2391872,,0.020491803,0.011160714
6/10/1981,AAPL,0.5625,0.569196429,0.5625,0.5625,504448,,0.012048193,0.006696429
6/11/1981,AAPL,0.587053571,0.589285714,0.587053571,0.587053571,779520,,0.043650794,0.024553571
6/12/1981,AAPL,0.580357143,0.582589286,0.580357143,0.580357143,516096,,-0.011406844,-0.006696429
6/15/1981,AAPL,0.578125,0.580357143,0.578125,0.578125,2875264,,-0.003846154,-0.002232143
6/16/1981,AAPL,0.566964286,0.569196429,0.566964286,0.566964286,745024,,-0.019305019,-0.011160714
6/17/1981,AAPL,0.558035714,0.560267857,0.558035714,0.558035714,551488,,-0.015748031,-0.008928571
6/18/1981,AAPL,0.555803571,0.560267857,0.555803571,0.555803571,460992,,-0.004,-0.002232143
6/19/1981,AAPL,0.540178571,0.542410714,0.540178571,0.540178571,550144,,-0.02811245,-0.015625
6/22/1981,AAPL,0.520089286,0.522321429,0.520089286,0.520089286,216832,,-0.037190083,-0.020089286
6/23/1981,AAPL,0.529017857,0.533482143,0.529017857,0.529017857,300608,,0.017167382,0.008928571
6/24/1981,AAPL,0.515625,0.520089286,0.515625,0.515625,460544,,-0.025316456,-0.013392857
6/25/1981,AAPL,0.526785714,0.529017857,0.526785714,0.526785714,485184,,0.021645022,0.011160714
6/26/1981,AAPL,0.520089286,0.524553571,0.520089286,0.520089286,475776,,-0.012711864,-0.006696429
6/29/1981,AAPL,0.502232143,0.506696429,0.502232143,0.502232143,211904,,-0.034334764,-0.017857143
6/30/1981,AAPL,0.464285714,0.466517857,0.464285714,0.464285714,718144,,-0.075555556,-0.037946429
7/1/1981,AAPL,0.459821429,0.462053571,0.459821429,0.459821429,3409280,,-0.009615385,-0.004464286
7/2/1981,AAPL,0.459821429,0.462053571,0.459821429,0.459821429,605696,,0,0
7/6/1981,AAPL,0.444196429,0.448660714,0.444196429,0.444196429,330624,,-0.033980583,-0.015625
7/7/1981,AAPL,0.448660714,0.453125,0.448660714,0.448660714,316736,,0.010050251,0.004464286
7/8/1981,AAPL,0.466517857,0.46875,0.466517857,0.466517857,332416,,0.039800995,0.017857143
7/9/1981,AAPL,0.430803571,0.433035714,0.430803571,0.430803571,657664,,-0.076555024,-0.035714286
7/10/1981,AAPL,0.397321429,0.399553571,0.397321429,0.397321429,1103424,,-0.077720207,-0.033482143
7/13/1981,AAPL,0.40625,0.408482143,0.40625,0.40625,914816,,0.02247191,0.008928571
7/14/1981,AAPL,0.424107143,0.428571429,0.424107143,0.424107143,395584,,0.043956044,0.017857143
7/15/1981,AAPL,0.435267857,0.4375,0.435267857,0.435267857,219072,,0.026315789,0.011160714
7/16/1981,AAPL,0.446428571,0.450892857,0.446428571,0.446428571,304640,,0.025641026,0.011160714
7/17/1981,AAPL,0.462053571,0.464285714,0.462053571,0.462053571,396480,,0.035,0.015625
7/20/1981,AAPL,0.430803571,0.433035714,0.430803571,0.430803571,473088,,-0.06763285,-0.03125
7/21/1981,AAPL,0.428571429,0.430803571,0.428571429,0.428571429,638848,,-0.005181347,-0.002232143
7/22/1981,AAPL,0.404017857,0.408482143,0.404017857,0.404017857,453376,,-0.057291667,-0.024553571
7/23/1981,AAPL,0.415178571,0.417410714,0.415178571,0.415178571,689024,,0.027624309,0.011160714
7/24/1981,AAPL,0.428571429,0.430803571,0.428571429,0.428571429,577024,,0.032258065,0.013392857
7/27/1981,AAPL,0.446428571,0.448660714,0.446428571,0.446428571,346752,,0.041666667,0.017857143
7/28/1981,AAPL,0.430803571,0.433035714,0.430803571,0.430803571,456960,,-0.035,-0.015625
7/29/1981,AAPL,0.424107143,0.426339286,0.424107143,0.424107143,310016,,-0.015544041,-0.006696429
7/30/1981,AAPL,0.439732143,0.444196429,0.439732143,0.439732143,198016,,0.036842105,0.015625
